# Pixagram mainnet hardfork activation blocks.
# Genesis: block 1 at 2026-09-04T12:00:03 UTC. Hardforks 1-28 were applied together in block 1.
# Hardfork 29 was scheduled by witness vote for 2026-09-18T12:00:00 UTC (reward-fund recent_claims reset, scaled hardfork quorum).
HARDFORK 1 at block 1
HARDFORK 2 at block 1
HARDFORK 3 at block 1
HARDFORK 4 at block 1
HARDFORK 5 at block 1
HARDFORK 6 at block 1
HARDFORK 7 at block 1
HARDFORK 8 at block 1
HARDFORK 9 at block 1
HARDFORK 10 at block 1
HARDFORK 11 at block 1
HARDFORK 12 at block 1
HARDFORK 13 at block 1
HARDFORK 14 at block 1
HARDFORK 15 at block 1
HARDFORK 16 at block 1
HARDFORK 17 at block 1
HARDFORK 18 at block 1
HARDFORK 19 at block 1
HARDFORK 20 at block 1
HARDFORK 21 at block 1
HARDFORK 22 at block 1
HARDFORK 23 at block 1
HARDFORK 24 at block 1
HARDFORK 25 at block 1
HARDFORK 26 at block 1
HARDFORK 27 at block 1
HARDFORK 28 at block 1
HARDFORK 29 at block 402205
